model,feature,cv_error,test_error,time
GBM,SIFT,0.2658,0.2716,252
GBM,SIFT+PCA,0.2725,0.2883,102
GBM,SIFT+TSNE,0.43,0.7033,22
GBM,SIFT+LLE,0.4821,0.6467,32
GBM,SIFT+ISOMAP,0.3912,0.755,32
GBM,RGB,0.1279,0.13,68
GBM,RGB+tsne,0.3667,0.6,18
GBM,RGB+PCA,0.2625,0.3933,27
Xgboost,RGB,0.117,0.1683,18
Xgboost,HOG,0.216,0.295,5
Xgboost,ORB(500),0.256,0.3533,6
Xgboost,ORB(50),0.243,0.325,6
Xgboost,SURF,0.278,0.36,11
RF,SIFT,0.2791667,0.2983333,55
RF,RGB,0.1083333,0.145,24
RF,HOG,0.19375,0.2483333,5
RF,ORB,0.26875,0.31,9
SVM,SIFT,0.4546,0.4917,25
SVM,SURF,0.3208,0.325,18
SVM,ORB,0.2167,0.225,11
SVM,RGB,0.2579,0.2367,91
SVM,HOG,0.1867,0.205,21
